#x_m,y_m,w_tr_right_m,w_tr_left_m
275.520199,152.246242,10.06823304,10.06823304
274.3633487,157.4068607,10.03343483,10.03343483
273.1962306,162.5649522,9.99291671,9.99291671
272.0162618,167.7200086,9.947766546,9.947766546
270.8209481,172.8715384,9.899026822,9.899026822
269.609005,178.0192729,9.846831614,9.846831614
268.3800227,183.1631051,9.790649989,9.790649989
267.1343336,188.3030898,9.730478322,9.730478322
265.8748601,193.4398507,9.668264146,9.668264146
264.6051263,198.5741439,9.606392005,9.606392005
263.330396,203.7071522,9.545973831,9.545973831
262.05897,208.8408032,9.485875316,9.485875316
260.7994549,213.9770991,9.424726249,9.424726249
259.5604569,219.1180423,9.361146487,9.361146487
258.3503691,224.265598,9.293581782,9.293581782
257.1751382,229.4213056,9.218562393,9.218562393
256.035284,234.5855028,9.134293399,9.134293399
254.9096147,239.7533046,9.055195461,9.055195461
253.7693765,244.918007,9.001385279,9.001385279
252.5858081,250.0729039,8.993351691,8.993351691
251.3258065,255.2095303,9.05366123,9.05366123
249.9180199,260.3061941,9.196655245,9.196655245
248.2665835,265.3238826,9.418648387,9.418648387
246.27811,270.2040649,9.706970903,9.706970903
243.8800118,274.8902853,10.05327746,10.05327746
241.0831678,279.3481304,10.44433444,10.44433444
237.9201425,283.5498043,10.8582826,10.8582826
234.418462,287.463302,11.27161097,11.27161097
230.5999375,291.0521932,11.67435081,11.67435081
226.4978322,294.2905406,12.07221429,12.07221429
222.1514646,297.1813817,12.47284973,12.47284973
217.6079623,299.7766612,12.87048881,12.87048881
212.910221,302.1248012,13.23842854,13.23842854
208.0975744,304.268143,13.53256112,13.53256112
203.2028667,306.2365028,13.70996732,13.70996732
198.2402672,308.0384127,13.76912404,13.76912404
193.2258836,309.711675,13.73806988,13.73806988
188.1764787,311.2977582,13.65182114,13.65182114
183.1088194,312.8381385,13.54721679,13.54721679
178.0403967,314.3750677,13.45718957,13.45718957
172.979862,315.9286264,13.38947509,13.38947509
167.9273262,317.499244,13.33780615,13.33780615
162.882714,319.0869278,13.29572395,13.29572395
157.8459497,320.6916851,13.25674024,13.25674024
152.8166687,322.3147216,13.21431832,13.21431832
147.7925602,323.9656305,13.16198576,13.16198576
142.7757798,325.6579391,13.08812252,13.08812252
137.7786827,327.409532,12.97529316,12.97529316
132.8215758,329.2560778,12.81684762,12.81684762
127.9268697,331.2384606,12.6101286,12.6101286
123.1169508,333.3975218,12.35331442,12.35331442
118.4079212,335.762889,12.05298643,12.05298643
113.8011826,338.3365585,11.73197082,11.73197082
109.2953355,341.1026679,11.4100051,11.4100051
104.8886194,344.037791,11.10310007,11.10310007
100.5855948,347.1275529,10.81871087,10.81871087
96.40494135,350.3779474,10.54950972,10.54950972
92.36725089,353.7977263,10.2873449,10.2873449
88.4930081,357.3955309,10.02524328,10.02524328
84.79612958,361.1732109,9.763251358,9.763251358
81.27864501,365.120742,9.509538897,9.509538897
77.93695373,369.2234993,9.268360428,9.268360428
74.76664698,373.466219,9.043000209,9.043000209
71.76664457,377.8355002,8.833636929,8.833636929
68.94122706,382.3211033,8.635874454,8.635874454
66.29631328,386.9153775,8.44593748,8.44593748
63.83851795,391.6120506,8.260625327,8.260625327
61.57446483,396.4048679,8.07680658,8.07680658
59.51083856,401.2875521,7.891481409,7.891481409
57.6565585,406.2529755,7.704077398,7.704077398
56.02332561,411.2929316,7.517132117,7.517132117
54.61922914,416.3988876,7.337114729,7.337114729
53.44587612,421.5618717,7.17681055,7.17681055
52.50423917,426.7728693,7.049682323,7.049682323
